emoji,keywords_ka,keywords_en
😀,ღიმილი|გახარებული|ბედნიერი|პოზიტივი|კაი ხასიათი|ჰეი|გამარჯობა|სიხარული|სახე|მხიარული,grinning face|happy|smile|grinning|joy|positive|face|grin|hello|cheerful
😃,ღიმილი|დიდი თვალები|სიხარული|გახარებული|ბედნიერი|კიი|კაია|დიდი ღიმილი|მხიარული|აღფრთოვანებული,grinning face with big eyes|happy|smile|joy|haha|big smile|smiley|excited|yay|lol|face|cheerful|mouth|open|joyful
😄,გახარებული|სიხარული|თვალები მოჭუტული|სიცილი|ხითხითი|კმაყოფილი|ხუმრობა|ჰაჰა|გურია|ღიმილი|ბედნიერი|მხიარულება,grinning face with smiling eyes|happy|smile|laugh|joy|pleased|laughing|giggle|haha|eye|lol|face|mouth|glad|open
😁,კბილების დაკრეჭა|ღიმილი ფართო|ღიმილი|კმაყოფილი|ჩაცინება|უხერხული სიცილი|ყურებამდე|გახარებული|კბილების გამოჩენა|ფართო ღიმილი|მხიარული,beaming face with smiling eyes|grin|happy|smile|teeth|big teeth|cheeky|proud|cheese|eye|excited|face|satisfied|beaming
😆,სიცილი|ახარხარებული|ხუმრობა|ახარხარება|გასკდა სიცილით|ღიმილი ფართო|ჰაჰაჰა|სკაიპი|იმენა სიცილი|დიდი სიცილი|თვალდახუჭული სიცილი|ხარხარი|მხიარული,grinning squinting face|laugh|happy|lol|squint|haha|laughing|xd|laughing hard|excited|funny|satisfied|rofl|lmao|face|big smile|mouth|hilarious|smile
😅,ოფლიანი ღიმილი|ნერვიული სიცილი|შემსუბუქება|ძლივს გადავრჩი|ოფლი|ვაიმე|უი|შვება|უხერხული,grinning face with sweat|sweat smile|sweat|nervous|relief|happy|sweat laugh|nervous laugh|whew|hot|cold|phew|face|awkward|smile|open
🤣,სიცილი|ვკვდები სიცილით|იუმორი|სიცილით ჩაბჟირება|იატაკზე გორაობა|ხარხარი|სიცილი ბევრი|ჩაბჟირება|ტირილამდე სიცილი|მეცინება|სასაცილოა|როფლ|ლოლი|სიცილით იატაკზე გორაობა|ცრემლებამდე სიცილი|სასაცილო,rolling on the floor laughing|rofl|lol|laugh|funny|lmao|laughing|jokes|haha|hilarious|comedy|humorous|puns|face|sending me|floor|lmfao|im dead|rolling|rolling on floor laughing|rotfl
😂,სიცილი|ლოლი|მეცინება|მიმი|სასაცილოა|სიცილი ბევრი|სიცილის ცრემლები|ბჟირი|ძალიან სასაცილო|სიცილით ტირილი|ცრემლები|კვდება სიცილით|ლოოოლ|ვკვდები სიცილით|ხუმრობა|სიცილი ცრემლებით|ცრემლიანი სიცილი|ხარხარი,face with tears of joy|laugh|lol|funny|lmao|joy|tears|haha|comedy|humorous|jokes|puns|hyena|rofl|im dead|comic|cry laughing|tears of joy|comedian|laughing|face|joke|laughing crying|tear
🙂,ღიმილი|ნიჩივო|ნორმალურად|ოდნავ მომღიმარი|სასიამოვნო|მშვიდი|კეთილი სახე|ტოქსიკური ღიმილი|ოკ|კი ბატონო|დიახ|კარგი|სამშაბათი|ოქეი|ნერვების მოშლა|მსუბუქი ღიმილი|მეგობრული|ნეიტრალური|კეთილი,slightly smiling face|smile|slightly smiling|calm|neutral|fake smile|okay|slight smile|passive aggressive|ok|face|fine|happy|acquaintances|good|toxic|friendly
🙃,თავდაყირა სახე|ირონია|ხუმრობა|ყირამალა|სარკაზმი|ტკივილი|ტვინის ტყვნა|ნერვოზი|ამოტრიალებული სახე,upside-down face|upside down|irony|sarcasm|joke|upside down face|goofy|face|fml|upside-down|silly
🫠,დნობა|ცხელა|სირცხვილი|გადნობა|ვიწვი|ვაიმეე|კრინჟი|დამდნარი სახე|სიცხე|უხერხულობა|გაქრობა|დაღლილობა,melting face|melting|dissolve|hot|crying|embarrassed|sarcasm|fml|dread|feeling|bored|exhausted|tired|disappear|cringe|heat|dragging|feelings|mood|sinking|ugh|liquid|melt
😉,თვალის ჩაკვრა|ფლირტი|ხუმრობა|ჩათლახური|კაი|ხომ ხვდები|ინსაიდი|საიდუმლო,winking face|wink|flirt|joke|playful|secret|hint|face
